Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-6798695,"Neutrophil degranulation",34,480,0.03552134981129283,4.370715401713632E-6,0.003382933720926351,10,10,9.004952723998199E-4,9606,Homo sapiens,"CDA;SERPINA1;HP;FPR2;FCAR;ADGRG1;MMP25;ALOX5;TIMP2;S100A12;ENPP4;MGAM;CR1;ARG1;SLC11A1;MCEMP1;RNASE2;MMP9;SERPINB6;BST1;LRG1;VNN1;CLEC4D;SLPI;PADI2;S100P;CYSTM1;FOLR3;ACPP;S100A9;DSC2;S100A8;SIGLEC5","","R-HSA-6798743;R-HSA-6799350;R-HSA-6798739;R-HSA-6800434;R-HSA-6798751;R-HSA-6798749;R-HSA-6798748;R-HSA-6798747;R-HSA-6800426;R-HSA-6798745"
R-HSA-6783783,"Interleukin-10 signaling",12,88,0.006512247465403686,1.866008221118598E-5,0.007221451815728974,3,14,0.0012606933813597478,9606,Homo sapiens,"IL1RN;CXCL8;IL1R1;CCL5;IL1R2;CCL4","","R-HSA-8937656;R-HSA-6784160;R-HSA-8937654"
R-HSA-168256,"Immune System",111,2643,0.19558943239843113,7.444885899299258E-5,0.019207805620192087,271,1444,0.130031517334534,9606,Homo sapiens,"CDA;IL1RN;CXCL8;SERPINA1;NCF4;HP;CBLB;RORA;SH3RF1;FCAR;LMNB1;HERC4;SPRED1;MMP25;TRIM4;GNLY;TUBB1;TIMP2;ENPP4;PRKACB;GBP5;DUSP5;CR1;IL4R;ANXA1;ARG1;IL1R1;IL1R2;SLC11A1;MCEMP1;NRG1;HLA-F;RNASE2;MMP9;SERPINB6;DNM3;CLEC4D;SLPI;IFI27;HNRNPH1;KLRF1;PADI2;TLR10;ANAPC5;IRF5;TLR5;ACPP;S100A9;DSC2;S100A8;HLA-DQB1;KLRB1;TXK;PDGFA;FPR2;SAMHD1;LILRA5;SOCS3;ADGRG1;CCL5;ALOX5;CCL4;PCBP2;S100A12;SLAMF7;NCAM1;PI3;FCGR1B;GBP4;HLA-DQA1;KLRG1;MGAM;YES1;ERAP2;KLRC3;SH2D1B;FBXO32;BST1;LRG1;VNN1;BCL6;TNFSF4;IL2RB;S100P;CYSTM1;KLRD1;FOLR3;PTPN4;CLEC2D;SIGLEC5","","R-HSA-452100;R-HSA-199169;R-HSA-6810724;R-HSA-975880;R-HSA-202245;R-HSA-452097;R-HSA-8950415;R-HSA-975878;R-HSA-450063;R-HSA-975879;R-HSA-452108;R-HSA-1112602;R-HSA-202248;R-HSA-975874;R-HSA-2130478;R-HSA-975873;R-HSA-8863895;R-HSA-2130486;R-HSA-452122;R-HSA-913424;R-HSA-5658231;R-HSA-6786114;R-HSA-6786124;R-HSA-1031716;R-HSA-937022;R-HSA-8937656;R-HSA-202291;R-HSA-5621353;R-HSA-8937654;R-HSA-202307;R-HSA-913996;R-HSA-8951498;R-HSA-5432849;R-HSA-8951499;R-HSA-8951500;R-HSA-6786095;R-HSA-1112666;R-HSA-6786092;R-HSA-6800426;R-HSA-6786101;R-HSA-5672965;R-HSA-450133;R-HSA-6800434;R-HSA-6786096;R-HSA-6786110;R-HSA-449115;R-HSA-8863973;R-HSA-983148;R-HSA-983147;R-HSA-2130500;R-HSA-6786050;R-HSA-983146;R-HSA-983145;R-HSA-2130504;R-HSA-983142;R-HSA-6807565;R-HSA-983140;R-HSA-202344;R-HSA-937059;R-HSA-6786058;R-HSA-983138;R-HSA-8852200;R-HSA-6786070;R-HSA-6788628;R-HSA-983161;R-HSA-937079;R-HSA-983158;R-HSA-983157;R-HSA-983156;R-HSA-188025;R-HSA-389758;R-HSA-6807578;R-HSA-6786072;R-HSA-2424484;R-HSA-6793958;R-HSA-2424486;R-HSA-912527;R-HSA-2424487;R-HSA-2424480;R-HSA-2424482;R-HSA-983704;R-HSA-983703;R-HSA-2130619;R-HSA-1112755;R-HSA-6798528;R-HSA-6806732;R-HSA-446634;R-HSA-9009700;R-HSA-446130;R-HSA-166072;R-HSA-2395801;R-HSA-446648;R-HSA-166082;R-HSA-977615;R-HSA-2201316;R-HSA-6784160;R-HSA-166091;R-HSA-2201322;R-HSA-977602;R-HSA-5624473;R-HSA-977629;R-HSA-2262775;R-HSA-388829;R-HSA-877269;R-HSA-388831;R-HSA-446684;R-HSA-8856157;R-HSA-2262777;R-HSA-2201341;R-HSA-446694;R-HSA-446692;R-HSA-388833;R-HSA-168166;R-HSA-166119;R-HSA-446701;R-HSA-2201293;R-HSA-6798474;R-HSA-2130640;R-HSA-2130641;R-HSA-912629;R-HSA-1222376;R-HSA-2172123;R-HSA-912627;R-HSA-2172126;R-HSA-6785895;R-HSA-2130725;R-HSA-8983425;R-HSA-8983424;R-HSA-2395439;R-HSA-2130731;R-HSA-6785898;R-HSA-879362;R-HSA-5658438;R-HSA-8950681;R-HSA-5658435;R-HSA-879917;R-HSA-9008043;R-HSA-912680;R-HSA-198955;R-HSA-5685606;R-HSA-2395412;R-HSA-990526;R-HSA-5685607;R-HSA-5685605;R-HSA-5685603;R-HSA-451900;R-HSA-5675373;R-HSA-445757;R-HSA-8848316;R-HSA-8848314;R-HSA-9008052;R-HSA-5685608;R-HSA-879411;R-HSA-445752;R-HSA-9008054;R-HSA-445753;R-HSA-2730858;R-HSA-8940998;R-HSA-990528;R-HSA-508247;R-HSA-2213235;R-HSA-2213236;R-HSA-2213239;R-HSA-2213241;R-HSA-2213243;R-HSA-2213244;R-HSA-2213246;R-HSA-451942;R-HSA-919404;R-HSA-5658430;R-HSA-5658424;R-HSA-983422;R-HSA-210289;R-HSA-983421;R-HSA-2730847;R-HSA-2730833;R-HSA-6785821;R-HSA-508282;R-HSA-199043;R-HSA-2130336;R-HSA-6788582;R-HSA-508292;R-HSA-9007882;R-HSA-8983309;R-HSA-446862;R-HSA-6789615;R-HSA-8983299;R-HSA-1974676;R-HSA-6797293;R-HSA-8983298;R-HSA-166286;R-HSA-983427;R-HSA-8983300;R-HSA-2029459;R-HSA-983426;R-HSA-2130349;R-HSA-166284;R-HSA-983425;R-HSA-983424;R-HSA-2559414;R-HSA-6799350;R-HSA-446868;R-HSA-9007901;R-HSA-199062;R-HSA-2396594;R-HSA-1015702;R-HSA-2730888;R-HSA-2213248;R-HSA-199079;R-HSA-446894;R-HSA-909729;R-HSA-2730885;R-HSA-8983335;R-HSA-873918;R-HSA-202165;R-HSA-1168809;R-HSA-202168;R-HSA-5432814;R-HSA-6788571;R-HSA-1168813;R-HSA-202174;R-HSA-8983371;R-HSA-8983374;R-HSA-1236954;R-HSA-1236955;R-HSA-3266557;R-HSA-5692315;R-HSA-977375;R-HSA-8983384;R-HSA-8855381;R-HSA-913374;R-HSA-166362;R-HSA-166363;R-HSA-1236939;R-HSA-8983378;R-HSA-1236943;R-HSA-1236940;R-HSA-1236941;R-HSA-975852;R-HSA-975853;R-HSA-435171;R-HSA-202214;R-HSA-2130378;R-HSA-8983394;R-HSA-202216;R-HSA-450027;R-HSA-6798743;R-HSA-453111;R-HSA-168947;R-HSA-6790036;R-HSA-6789524;R-HSA-975866;R-HSA-6798739;R-HSA-168951;R-HSA-1236967;R-HSA-453104;R-HSA-1236964;R-HSA-975865;R-HSA-1236965;R-HSA-6798751;R-HSA-1236971;R-HSA-2130393;R-HSA-6798749;R-HSA-202233;R-HSA-975861;R-HSA-6798748;R-HSA-6798747;R-HSA-452091;R-HSA-6790041;R-HSA-6798745;R-HSA-975857"
R-HSA-449147,"Signaling by Interleukins",41,793,0.05868423000074003,5.285201625536695E-4,0.10200439137285822,95,468,0.04214317874831157,9606,Homo sapiens,"DUSP5;IL1RN;IL4R;YES1;CXCL8;ANXA1;IL1R1;IL1R2;PDGFA;NRG1;RORA;MMP9;LMNB1;SOCS3;SPRED1;BCL6;HNRNPH1;CCL5;ALOX5;CCL4;IL2RB;S100A12;NCAM1","","R-HSA-6785895;R-HSA-6793958;R-HSA-6788582;R-HSA-452100;R-HSA-912527;R-HSA-508292;R-HSA-9007882;R-HSA-8983309;R-HSA-452097;R-HSA-8950415;R-HSA-8983425;R-HSA-446862;R-HSA-6789615;R-HSA-8983424;R-HSA-450063;R-HSA-452108;R-HSA-8983299;R-HSA-1112602;R-HSA-6797293;R-HSA-8983298;R-HSA-8983300;R-HSA-6785898;R-HSA-5658438;R-HSA-8950681;R-HSA-446868;R-HSA-9007901;R-HSA-5658435;R-HSA-452122;R-HSA-913424;R-HSA-879917;R-HSA-5658231;R-HSA-9008043;R-HSA-1112755;R-HSA-6786114;R-HSA-446894;R-HSA-6786124;R-HSA-446634;R-HSA-9009700;R-HSA-8983335;R-HSA-8937656;R-HSA-446130;R-HSA-451900;R-HSA-5675373;R-HSA-445757;R-HSA-8848316;R-HSA-6788571;R-HSA-8848314;R-HSA-9008052;R-HSA-8937654;R-HSA-445752;R-HSA-446648;R-HSA-9008054;R-HSA-445753;R-HSA-8983371;R-HSA-8983374;R-HSA-6784160;R-HSA-6786095;R-HSA-6786092;R-HSA-8940998;R-HSA-508247;R-HSA-8983384;R-HSA-6786101;R-HSA-913374;R-HSA-5672965;R-HSA-450133;R-HSA-6786096;R-HSA-6786110;R-HSA-446684;R-HSA-8983378;R-HSA-449115;R-HSA-451942;R-HSA-446694;R-HSA-919404;R-HSA-446692;R-HSA-168166;R-HSA-6786050;R-HSA-5658430;R-HSA-8983394;R-HSA-446701;R-HSA-450027;R-HSA-6786058;R-HSA-5658424;R-HSA-453111;R-HSA-6786070;R-HSA-6788628;R-HSA-6790036;R-HSA-6789524;R-HSA-453104;R-HSA-912629;R-HSA-6785821;R-HSA-452091;R-HSA-508282;R-HSA-912627;R-HSA-6790041;R-HSA-6786072"
R-HSA-6785807,"Interleukin-4 and 13 signaling",16,212,0.015688596166654332,8.03184509718613E-4,0.11434281445096994,23,46,0.004142278253039171,9606,Homo sapiens,"SOCS3;IL4R;ANXA1;CXCL8;BCL6;ALOX5;RORA;MMP9","","R-HSA-6785895;R-HSA-6793958;R-HSA-6788582;R-HSA-6786114;R-HSA-6786050;R-HSA-6786095;R-HSA-6789615;R-HSA-6797293;R-HSA-6786092;R-HSA-6786124;R-HSA-6785898;R-HSA-6786058;R-HSA-6786070;R-HSA-6786101;R-HSA-6788628;R-HSA-6790036;R-HSA-6789524;R-HSA-6786096;R-HSA-6786110;R-HSA-6785821;R-HSA-6788571;R-HSA-6790041;R-HSA-6786072"
R-HSA-1280215,"Cytokine Signaling in Immune system",52,1108,0.08199511581440094,8.863784065966662E-4,0.11434281445096994,104,601,0.05411976587122918,9606,Homo sapiens,"IL1RN;CXCL8;PDGFA;RORA;SAMHD1;LMNB1;SOCS3;SPRED1;CCL5;ALOX5;CCL4;S100A12;NCAM1;FCGR1B;GBP4;HLA-DQA1;GBP5;DUSP5;IL4R;YES1;ANXA1;IL1R1;IL1R2;NRG1;HLA-F;MMP9;IFI27;BCL6;HNRNPH1;TNFSF4;IL2RB;IRF5;HLA-DQB1","","R-HSA-6785895;R-HSA-452100;R-HSA-452097;R-HSA-8950415;R-HSA-8983425;R-HSA-8983424;R-HSA-450063;R-HSA-452108;R-HSA-1112602;R-HSA-6785898;R-HSA-5658438;R-HSA-8950681;R-HSA-5658435;R-HSA-452122;R-HSA-913424;R-HSA-879917;R-HSA-5658231;R-HSA-9008043;R-HSA-6786114;R-HSA-912680;R-HSA-6786124;R-HSA-1031716;R-HSA-8937656;R-HSA-451900;R-HSA-5675373;R-HSA-445757;R-HSA-8848316;R-HSA-8848314;R-HSA-9008052;R-HSA-8937654;R-HSA-445752;R-HSA-9008054;R-HSA-445753;R-HSA-6786095;R-HSA-6786092;R-HSA-8940998;R-HSA-508247;R-HSA-6786101;R-HSA-5672965;R-HSA-450133;R-HSA-6786096;R-HSA-6786110;R-HSA-449115;R-HSA-451942;R-HSA-919404;R-HSA-6786050;R-HSA-5658430;R-HSA-6786058;R-HSA-5658424;R-HSA-6786070;R-HSA-6788628;R-HSA-6785821;R-HSA-508282;R-HSA-6786072;R-HSA-6793958;R-HSA-6788582;R-HSA-912527;R-HSA-508292;R-HSA-9007882;R-HSA-8983309;R-HSA-446862;R-HSA-6789615;R-HSA-8983299;R-HSA-6797293;R-HSA-8983298;R-HSA-8983300;R-HSA-446868;R-HSA-9007901;R-HSA-1015702;R-HSA-1112755;R-HSA-446894;R-HSA-909729;R-HSA-446634;R-HSA-9009700;R-HSA-8983335;R-HSA-873918;R-HSA-446130;R-HSA-1168809;R-HSA-6788571;R-HSA-1168813;R-HSA-446648;R-HSA-8983371;R-HSA-8983374;R-HSA-6784160;R-HSA-5692315;R-HSA-8983384;R-HSA-913374;R-HSA-877269;R-HSA-446684;R-HSA-8983378;R-HSA-446694;R-HSA-446692;R-HSA-168166;R-HSA-8983394;R-HSA-446701;R-HSA-450027;R-HSA-453111;R-HSA-6790036;R-HSA-6789524;R-HSA-453104;R-HSA-912629;R-HSA-452091;R-HSA-912627;R-HSA-6790041"
R-HSA-380108,"Chemokine receptors bind chemokines",6,48,0.003552134981129283,0.0035302945861109825,0.36301216591250807,4,18,0.0016208914903196759,9606,Homo sapiens,"CXCL8;CCL5;XCL1;CXCL5","","R-HSA-373061;R-HSA-373813;R-HSA-373791;R-HSA-373339"
R-HSA-432030,"Transport of glycerol from adipocytes to the liver by Aquaporins",2,3,2.220084363205802E-4,0.0037813767282552924,0.36301216591250807,2,2,1.8009905447996397E-4,9606,Homo sapiens,"AQP9","","R-HSA-432049;R-HSA-432074"
R-HSA-5694530,"Cargo concentration in the ER",5,37,0.0027381040479538222,0.005480494767598265,0.4219980971050664,4,12,0.001080594326879784,9606,Homo sapiens,"TMED10;SERPINA1;TGFA;TMED2;FOLR1","","R-HSA-5694428;R-HSA-5694445;R-HSA-5694522;R-HSA-5694410"
R-HSA-75108,"Activation, myristolyation of BID and translocation to mitochondria",2,4,2.9601124842744024E-4,0.006591553478532131,0.46140874349724914,2,4,3.6019810895992794E-4,9606,Homo sapiens,"NMT2;GZMB","","R-HSA-141367;R-HSA-139893"
